Student Number,Gender,Age,Degree,Year Graduated,CGPA,Average Prof Grade,Average Elec Grade,OJT Grade,Leadership POS,Act Member POS,Soft Skills Ave,Hard Skills Ave,Employability
21-01140,Male,29,BSN,2021,2.69,79.88,99.06,91.43,Yes,No,1,1,Employable
15-01141,Male,25,BSBA,2015,2.74,82.32,99.17,86.99,No,Yes,4,4,Not Employable
21-01142,Male,23,BSHM,2021,3.22,95.92,88.33,70.58,No,No,3,3,Not Employable
19-01143,Female,34,BSN,2019,2.55,79.87,81.77,77.07,Yes,Yes,4,3,Employable
17-01144,Male,34,BSA,2017,3.4,98.93,85.36,94.11,No,Yes,5,2,Not Employable
17-01145,Female,26,BSE,2017,2.31,75.18,92.87,77.27,Yes,Yes,5,3,Employable
18-01146,Female,29,BSE,2018,2.22,77.25,76.7,91.91,Yes,No,5,3,Employable
16-01147,Male,28,BSA,2016,3.07,83.91,83.25,75.54,Yes,No,3,2,Employable
16-01148,Female,29,BSCS,2016,3.11,93.92,92.12,88.19,Yes,No,2,5,Not Employable
15-01149,Male,29,BSCS,2015,2.21,91.95,81.86,88.85,Yes,Yes,2,1,Not Employable
19-01150,Female,32,BSSE,2019,3.93,75.23,70.96,92.56,No,Yes,4,5,Not Employable
18-01151,Female,26,BSIT,2018,3.15,77.1,85.22,83.15,No,Yes,2,2,Not Employable
24-01152,Female,31,BSP,2024,2.3,87.26,92.12,88.98,No,Yes,2,3,Employable
16-01153,Male,33,BSA,2016,2.62,78.85,99.3,84.61,Yes,Yes,4,3,Not Employable
17-01154,Female,24,BSSE,2017,3.6,82.67,71.11,98.42,Yes,Yes,4,5,Not Employable
21-01155,Male,26,BSHM,2021,3.05,84.6,86.2,85.66,No,Yes,4,4,Employable
21-01156,Female,22,BSA,2021,2.38,87.83,83.5,76.29,No,No,3,1,Employable
18-01157,Female,21,BSIT,2018,2.21,77.53,77.27,90.04,Yes,Yes,4,3,Employable
19-01158,Female,30,BSA,2019,2.86,74.89,89.13,86.45,No,Yes,3,2,Employable
19-01159,Female,34,BSIT,2019,2.67,81.96,74.91,94.11,Yes,Yes,3,5,Not Employable
20-01160,Male,24,BSIT,2020,3.31,72.46,78.52,75.31,Yes,Yes,3,1,Employable
23-01161,Male,23,BSIT,2023,3.85,85.8,93.45,77.83,Yes,Yes,4,4,Not Employable
16-01162,Female,24,BSE,2016,2.5,95.19,83.81,97.65,No,No,2,3,Not Employable
19-01163,Female,27,BSN,2019,3.71,73.57,99.81,97.9,Yes,Yes,2,5,Not Employable
17-01164,Male,31,BSE,2017,3.84,73.38,81.59,83.27,Yes,Yes,4,3,Employable
18-01165,Male,23,BSSE,2018,3.8,72.41,83.9,71.43,No,Yes,2,5,Employable
24-01166,Male,34,BSE,2024,3.9,95.44,79.01,79.2,Yes,No,4,4,Not Employable
20-01167,Male,28,BSE,2020,3.68,72.42,77.09,77.41,Yes,Yes,3,2,Not Employable
22-01168,Female,26,BSHM,2022,3.19,99.5,97.67,82.44,No,Yes,5,2,Employable
15-01169,Female,29,BSA,2015,2.82,80.75,92.46,79.53,No,No,1,1,Employable
24-01170,Male,32,BSE,2024,2.98,79.86,80,94.87,Yes,Yes,4,3,Not Employable
22-01171,Male,31,BSIT,2022,3.75,72.75,91,70.09,No,Yes,3,3,Not Employable
21-01172,Male,26,BSA,2021,2.6,87.57,98.97,89.34,No,No,5,3,Employable
15-01173,Male,34,BSCS,2015,2.32,87.58,72.22,89.93,Yes,No,3,2,Employable
16-01174,Male,32,BSHM,2016,2.28,84.81,77.94,89.82,Yes,No,1,1,Not Employable
17-01175,Male,32,BSN,2017,3.65,79.33,76.02,85.62,Yes,Yes,2,2,Employable
15-01176,Female,27,BSHM,2015,3.52,81.06,96.09,88.33,Yes,Yes,2,5,Employable
23-01177,Female,31,BSIT,2023,3,79.62,75.38,94.31,Yes,Yes,3,3,Employable
22-01178,Female,25,BSA,2022,2.55,82.78,79.24,93.53,Yes,Yes,1,5,Not Employable
16-01179,Male,27,BSN,2016,3.36,80.25,86.32,71.04,No,Yes,3,4,Employable
23-01180,Male,22,BSP,2023,2.08,90.27,88.63,70.91,Yes,No,2,5,Employable
21-01181,Male,29,BSBA,2021,3.14,78.87,94.25,95.17,No,Yes,3,5,Employable
23-01182,Female,29,BSHM,2023,2.8,80.53,82.22,87.24,No,No,5,5,Employable
20-01183,Male,33,BSN,2020,3.96,83.06,86.03,98.72,Yes,Yes,1,2,Employable
20-01184,Male,20,BSSE,2020,3.02,70.12,98.96,82.95,No,No,2,5,Employable
18-01185,Female,25,BSN,2018,3.1,84.76,78.92,75.3,Yes,No,3,3,Employable
24-01186,Male,20,BSBA,2024,3.42,77.67,77.44,84.2,No,Yes,1,1,Employable
24-01187,Female,28,BSIT,2024,2.97,71.68,91.32,83.1,No,No,3,4,Not Employable
16-01188,Female,33,BSA,2016,2.45,97.33,93.13,85.52,No,Yes,2,3,Not Employable
21-01189,Male,21,BSP,2021,3.07,79.67,82.44,94.24,No,Yes,1,1,Employable
19-01190,Female,30,BSSE,2019,3.89,82.78,76.39,89.67,No,No,2,3,Not Employable
20-01191,Male,21,BSN,2020,2.82,94.82,93.37,75.56,No,No,5,5,Employable
16-01192,Female,26,BSE,2016,3.36,75,90.11,92.03,Yes,Yes,5,4,Employable
19-01193,Male,21,BSIT,2019,3.96,95.51,96.29,87.76,No,Yes,4,3,Not Employable
24-01194,Female,29,BSHM,2024,3.66,77.25,95.33,87.35,Yes,Yes,1,4,Not Employable
18-01195,Male,27,BSHM,2018,3.32,87.67,76.16,90.35,Yes,Yes,5,2,Employable
23-01196,Female,25,BSBA,2023,3.47,90.57,94.97,86.92,No,No,4,2,Employable
20-01197,Female,33,BSIT,2020,3.87,97.15,75.26,83.73,No,Yes,1,5,Employable
16-01198,Female,26,BSSE,2016,3.92,88.23,95.91,89.21,No,No,2,5,Not Employable
15-01199,Male,26,BSCS,2015,3.94,83.6,93.11,91.71,Yes,Yes,3,2,Not Employable
19-01200,Male,25,BSP,2019,3.25,87.17,87.1,76.77,No,Yes,3,3,Employable
23-01201,Female,29,BSSE,2023,2.77,76.06,89.27,84.91,Yes,Yes,2,1,Employable
20-01202,Male,30,BSP,2020,2.27,90.67,73.12,83.75,No,No,5,1,Employable
24-01203,Female,28,BSA,2024,2.77,75.61,71.2,71.2,No,No,3,2,Not Employable
21-01204,Male,32,BSA,2021,3.89,86.72,79.92,95.03,Yes,No,2,1,Employable
19-01205,Female,28,BSIT,2019,3.78,89.43,94.64,81.32,No,Yes,4,3,Employable
24-01206,Male,34,BSIT,2024,3.05,96.96,83.97,72.18,Yes,Yes,4,1,Employable
20-01207,Female,26,BSHM,2020,3.07,83.51,76.7,83.74,No,No,2,1,Not Employable
19-01208,Female,28,BSE,2019,2.62,93.26,95.04,74.84,No,Yes,1,2,Employable
23-01209,Female,32,BSBA,2023,2.91,75.03,76.86,91.13,No,No,5,4,Employable
20-01210,Female,29,BSE,2020,3.43,74.69,94.46,87.15,No,No,5,4,Not Employable
22-01211,Male,22,BSSE,2022,2.8,85.74,83.59,78.1,No,Yes,2,3,Not Employable
16-01212,Female,22,BSHM,2016,2.38,87.89,83.9,98.51,Yes,No,3,4,Not Employable
23-01213,Male,20,BSP,2023,3.08,88.97,78.18,78.75,Yes,Yes,5,5,Not Employable
19-01214,Male,24,BSCS,2019,2.45,92.37,97.01,86.65,Yes,Yes,5,2,Employable
21-01215,Female,34,BSN,2021,3.95,78.85,72.66,94.05,Yes,No,4,4,Not Employable
24-01216,Male,23,BSA,2024,2.78,88.68,74.33,85.42,Yes,Yes,4,1,Not Employable
15-01217,Male,21,BSE,2015,3.82,75.64,89.08,98.83,No,No,4,4,Employable
24-01218,Male,28,BSBA,2024,2.45,76.57,95.5,95.32,No,No,5,2,Not Employable
19-01219,Female,22,BSCS,2019,2.38,72.02,72.86,97.63,No,No,5,1,Not Employable
24-01220,Male,34,BSCS,2024,3.23,92.41,92.01,81.18,No,Yes,5,1,Employable
16-01221,Male,27,BSA,2016,3.56,85.21,92.28,86.45,No,No,3,2,Employable
20-01222,Female,25,BSIT,2020,3.13,77.15,87.45,95.2,Yes,Yes,3,3,Employable
15-01223,Female,33,BSCS,2015,2.46,86.69,84.6,97.11,Yes,No,3,3,Employable
17-01224,Male,32,BSSE,2017,2.08,80.63,79.63,98.33,Yes,Yes,1,2,Not Employable
19-01225,Female,24,BSSE,2019,3.24,95.12,80.54,96.37,Yes,No,5,2,Employable
18-01226,Male,20,BSIT,2018,2.26,85.84,90.23,91.92,Yes,No,5,2,Employable
17-01227,Male,23,BSP,2017,2.69,70.89,71.96,70.73,No,Yes,2,1,Employable
24-01228,Male,22,BSHM,2024,3.35,99.55,87.55,79.45,No,No,2,1,Not Employable
19-01229,Female,20,BSIT,2019,2.2,72.23,78.36,73.87,No,No,1,2,Employable
22-01230,Male,31,BSSE,2022,2.25,90.88,84,74.64,No,Yes,2,1,Not Employable
18-01231,Female,34,BSCS,2018,2.12,83.12,86.77,78.73,Yes,Yes,3,5,Not Employable
15-01232,Female,24,BSSE,2015,3.99,77.48,96.57,72.24,Yes,No,1,2,Employable
21-01233,Male,25,BSN,2021,2.77,90.29,87.37,77.29,No,No,1,1,Not Employable
22-01234,Female,21,BSHM,2022,3.81,73.78,76.81,98.71,No,Yes,1,3,Employable
17-01235,Female,34,BSBA,2017,2.59,95.75,72.38,79.36,No,No,4,2,Not Employable
20-01236,Female,33,BSN,2020,3.51,77.52,88.81,74.79,No,Yes,2,2,Employable
16-01237,Female,22,BSP,2016,2.44,80.84,86.35,91.55,No,Yes,5,2,Employable
21-01238,Female,30,BSA,2021,3,88.98,90.15,94.86,No,No,4,4,Employable
22-01239,Male,33,BSN,2022,3.65,70.03,83.78,79.42,Yes,Yes,3,2,Not Employable
20-01240,Female,34,BSP,2020,3.63,84.18,94.75,78.35,Yes,Yes,4,3,Employable
20-01241,Male,25,BSP,2020,3.59,96.83,97.61,77.25,Yes,No,3,1,Not Employable
19-01242,Male,23,BSBA,2019,3.65,90.41,71.2,81.8,Yes,No,5,2,Not Employable
22-01243,Male,28,BSA,2022,2.42,81.64,92.32,72.62,No,No,5,5,Employable
15-01244,Male,24,BSE,2015,2.96,89.81,71.05,90.07,No,No,2,1,Not Employable
24-01245,Male,23,BSIT,2024,2.97,98.1,83.35,94.67,No,Yes,4,3,Not Employable
18-01246,Male,21,BSCS,2018,3.78,75.63,83.85,89.91,No,Yes,5,4,Employable
18-01247,Female,25,BSE,2018,2.59,85.95,90.89,82.64,Yes,Yes,3,3,Not Employable
17-01248,Female,29,BSIT,2017,3.86,77.04,80.57,78.67,No,No,5,4,Not Employable
17-01249,Female,21,BSIT,2017,2.9,95.63,94.63,82.28,No,Yes,2,1,Employable
18-01250,Male,31,BSCS,2018,3.34,91.63,80.29,82.72,Yes,No,3,4,Employable
15-01251,Female,32,BSA,2015,2.54,94.03,80.28,89.98,No,Yes,1,1,Employable
16-01252,Female,26,BSP,2016,2.82,98.29,76.68,97.84,Yes,No,2,3,Employable
23-01253,Female,22,BSIT,2023,3.42,76.97,90.52,72.12,No,No,2,3,Not Employable
24-01254,Male,28,BSP,2024,3.03,71.46,72.3,98.6,Yes,Yes,1,4,Not Employable
16-01255,Female,30,BSBA,2016,3.86,78.73,80.89,97.31,Yes,No,5,5,Employable
19-01256,Male,24,BSN,2019,3.47,81.97,78.01,73.53,No,Yes,2,3,Not Employable
23-01257,Female,27,BSP,2023,3.13,88.75,76.88,75.51,No,Yes,1,4,Employable
23-01258,Male,30,BSA,2023,3.77,93.93,71.83,79.35,Yes,Yes,1,2,Employable
22-01259,Male,25,BSCS,2022,3.33,80.49,75.71,86.79,No,Yes,2,1,Not Employable
15-01260,Male,33,BSP,2015,3.29,84.2,83.39,74.03,Yes,No,4,2,Employable
15-01261,Female,31,BSCS,2015,2.49,93.56,85.11,76.01,No,Yes,2,2,Not Employable
23-01262,Female,29,BSHM,2023,2.79,76.76,78.09,97.08,Yes,Yes,4,2,Not Employable
22-01263,Male,27,BSIT,2022,3.37,76.51,89.51,73.28,No,Yes,5,4,Not Employable
24-01264,Female,32,BSBA,2024,3.78,87.68,80.07,81.97,Yes,No,1,3,Employable
23-01265,Male,32,BSN,2023,2.63,83.08,81.02,92.89,Yes,Yes,3,2,Not Employable
21-01266,Male,30,BSA,2021,2.43,98.47,93.48,96.66,No,No,2,4,Not Employable
17-01267,Female,31,BSBA,2017,3.19,80.71,86.56,80.08,No,Yes,3,3,Not Employable
17-01268,Female,22,BSN,2017,2.13,92.79,98.6,74.93,Yes,Yes,5,1,Employable
16-01269,Female,22,BSBA,2016,3.43,87.49,80.78,92.11,Yes,Yes,2,3,Not Employable
19-01270,Male,24,BSBA,2019,3.41,71.64,94.84,93.18,Yes,Yes,3,3,Employable
17-01271,Male,30,BSSE,2017,2.71,72.53,92.15,99.4,No,Yes,5,2,Not Employable
20-01272,Female,29,BSIT,2020,3.79,76.09,96.71,74.19,Yes,No,4,4,Not Employable
16-01273,Male,22,BSE,2016,3,74.29,98.7,91.28,Yes,No,5,5,Not Employable
17-01274,Female,27,BSN,2017,3.29,79.88,70.23,82.52,No,Yes,2,1,Employable
19-01275,Male,29,BSA,2019,2.42,87.37,72.65,97.44,Yes,Yes,2,4,Employable
15-01276,Female,32,BSP,2015,2.83,88.07,90.23,82.23,No,Yes,2,2,Employable
15-01277,Female,31,BSBA,2015,3.72,87.63,81.71,83.38,Yes,No,5,4,Not Employable
24-01278,Male,33,BSBA,2024,2.43,73.53,94.57,73.8,No,Yes,2,5,Not Employable
23-01279,Female,27,BSN,2023,2.78,88.01,70.36,79.63,No,No,5,1,Not Employable
21-01280,Female,21,BSHM,2021,2.64,82.29,94.21,82.03,No,Yes,1,3,Employable
15-01281,Male,31,BSE,2015,2.3,97.09,74.06,70.53,No,Yes,1,1,Employable
22-01282,Female,23,BSBA,2022,2.58,97.36,78.71,83.13,No,Yes,1,5,Employable
17-01283,Male,29,BSSE,2017,2.47,93.05,99.07,80.09,No,No,3,1,Not Employable
22-01284,Female,32,BSCS,2022,3.85,91.09,71.55,94.12,Yes,Yes,1,1,Employable
19-01285,Male,20,BSSE,2019,3.48,73.45,80.47,73.21,No,No,1,2,Not Employable
15-01286,Female,23,BSE,2015,2.63,72.54,72.54,92.81,Yes,Yes,5,3,Not Employable
21-01287,Female,31,BSSE,2021,3.53,95.23,95.61,91.42,No,No,5,5,Not Employable
19-01288,Female,32,BSCS,2019,2.04,82.81,91.09,77.25,No,No,2,2,Not Employable
20-01289,Female,32,BSP,2020,3.05,83.54,94.01,72.5,Yes,Yes,2,1,Not Employable
20-01290,Male,30,BSIT,2020,2.5,95.43,85.82,95.26,No,No,2,1,Employable
22-01291,Male,32,BSP,2022,2.23,88.64,80.73,77.48,Yes,Yes,5,4,Employable
23-01292,Male,23,BSIT,2023,3.77,75.38,70.07,74.37,Yes,Yes,5,2,Not Employable
16-01293,Male,29,BSHM,2016,2.4,76.33,78.34,80.77,Yes,Yes,1,5,Employable
23-01294,Male,28,BSHM,2023,3.64,70.19,85.44,82.03,No,Yes,4,5,Not Employable
24-01295,Male,34,BSHM,2024,2.83,91.32,89.93,79.78,Yes,No,5,5,Not Employable
23-01296,Male,22,BSSE,2023,2.03,84.57,76.87,99.29,Yes,Yes,4,5,Employable
24-01297,Female,34,BSHM,2024,3.47,98.5,74.17,96.42,Yes,No,5,1,Not Employable
24-01298,Female,21,BSIT,2024,3.19,91.42,76.05,96.19,No,Yes,5,1,Employable
21-01299,Female,28,BSP,2021,2.69,73.09,80.62,81.96,No,No,3,2,Not Employable
15-01300,Female,28,BSN,2015,2.56,74.85,74.45,98.89,No,Yes,4,3,Employable
21-01301,Male,20,BSBA,2021,2.15,85.05,74.7,90.52,No,No,3,5,Not Employable
24-01302,Male,25,BSIT,2024,3.88,97.75,71.31,94.96,No,Yes,1,1,Not Employable
19-01303,Male,29,BSP,2019,2.99,77.42,95.7,85.03,Yes,Yes,3,2,Employable
20-01304,Female,27,BSP,2020,2.17,94.77,76.59,74.82,Yes,Yes,3,5,Not Employable
24-01305,Male,22,BSBA,2024,3.74,79.37,94.66,96.61,Yes,No,1,3,Not Employable
21-01306,Female,30,BSN,2021,2.56,78.1,83.15,84.59,Yes,Yes,4,5,Employable
19-01307,Male,28,BSP,2019,2.41,97.04,88.97,99.06,No,Yes,2,4,Employable
21-01308,Male,21,BSCS,2021,2.56,71.42,72.27,77.65,No,No,5,5,Employable
23-01309,Male,25,BSA,2023,3.13,89.82,87.51,99.77,No,No,4,4,Not Employable
17-01310,Male,20,BSIT,2017,2.15,71.3,78.7,76.67,No,Yes,1,3,Not Employable
22-01311,Female,32,BSSE,2022,2.96,94.02,72.86,81.05,Yes,No,3,4,Employable
16-01312,Female,26,BSHM,2016,3.79,94.88,97.25,87.82,Yes,No,2,3,Not Employable
21-01313,Male,22,BSSE,2021,2.38,96.8,88.11,90.8,Yes,Yes,3,2,Employable
16-01314,Female,26,BSE,2016,2.66,75.58,77.25,91.61,No,No,5,4,Employable
18-01315,Male,23,BSCS,2018,2.79,73.73,82.59,84.29,Yes,No,1,5,Not Employable
21-01316,Male,28,BSSE,2021,3.17,85.11,80.71,72.3,Yes,No,2,5,Not Employable
17-01317,Male,24,BSBA,2017,3.84,78.15,91.02,84.88,No,Yes,4,2,Not Employable
16-01318,Male,22,BSA,2016,2.79,88.19,88.22,80.04,No,No,4,1,Employable
24-01319,Female,34,BSN,2024,2.14,85.41,70.59,89.73,Yes,Yes,1,3,Not Employable
21-01320,Male,27,BSBA,2021,2.7,74.35,75.93,75.47,No,Yes,1,1,Not Employable
15-01321,Male,25,BSCS,2015,2.38,92.18,84.34,81.82,Yes,No,3,1,Employable
22-01322,Female,21,BSCS,2022,3.3,94.11,83.36,98.98,Yes,Yes,2,2,Not Employable
17-01323,Male,22,BSA,2017,2.06,98.89,85.5,72.67,Yes,Yes,5,2,Employable
16-01324,Female,27,BSP,2016,2.58,81.87,91.44,88.07,Yes,Yes,1,4,Not Employable
17-01325,Male,34,BSSE,2017,3.09,80.13,90.46,72.72,Yes,Yes,2,4,Employable
19-01326,Male,29,BSHM,2019,2.55,75.77,81.18,74.71,No,No,1,4,Not Employable
22-01327,Male,26,BSHM,2022,3.1,75.43,96.33,88.15,No,Yes,1,4,Not Employable
24-01328,Male,29,BSSE,2024,2.23,79.63,71.89,83.32,No,Yes,4,4,Employable
21-01329,Male,25,BSA,2021,3.89,99.45,87.54,86.45,Yes,Yes,2,5,Not Employable
21-01330,Male,33,BSP,2021,2.58,72.77,98.49,96.4,Yes,No,4,2,Not Employable
21-01331,Female,20,BSN,2021,3.85,77.78,86.47,94.52,No,No,4,3,Not Employable
22-01332,Male,28,BSA,2022,2.65,72.58,83.65,96.64,No,Yes,2,3,Employable
15-01333,Female,22,BSHM,2015,3.56,78.21,74.02,88.49,No,Yes,4,3,Not Employable
18-01334,Female,33,BSCS,2018,2.49,72.77,94.31,84.69,Yes,No,3,3,Employable
20-01335,Male,24,BSCS,2020,3.34,85.25,81.21,83.78,No,No,5,3,Not Employable
23-01336,Female,26,BSE,2023,2.65,83.15,91.04,92.19,No,No,5,5,Employable
16-01337,Male,34,BSIT,2016,3.02,75.22,75.93,85.64,Yes,Yes,3,2,Employable
15-01338,Female,26,BSBA,2015,3.35,75.24,71.26,73.17,No,No,1,4,Not Employable
24-01339,Male,22,BSBA,2024,3.18,88.78,79.16,74.26,No,No,4,4,Employable
16-01340,Female,34,BSHM,2016,3.15,81.61,78.44,80.71,Yes,Yes,5,4,Employable
21-01341,Female,23,BSBA,2021,2.13,71.69,96.2,72.03,Yes,Yes,2,2,Employable
17-01342,Male,29,BSBA,2017,2.5,97.61,95.94,77.18,No,No,1,2,Not Employable
24-01343,Female,26,BSA,2024,3.14,82.15,86.02,89.69,Yes,Yes,5,5,Employable
16-01344,Male,27,BSN,2016,2.04,87.73,70.57,70.37,No,Yes,4,5,Employable
21-01345,Male,21,BSHM,2021,2.5,96.56,76.85,88.12,No,Yes,5,4,Not Employable
16-01346,Male,28,BSE,2016,2.46,82.06,89.17,93.17,No,No,4,2,Employable
17-01347,Male,26,BSN,2017,2.5,94.62,73.04,75.1,No,Yes,1,4,Not Employable
21-01348,Male,32,BSE,2021,3.07,97.44,91.02,75.43,Yes,Yes,3,5,Employable
18-01349,Female,27,BSHM,2018,3.16,75.22,70.36,70.87,Yes,Yes,4,4,Not Employable
15-01350,Female,25,BSP,2015,3.82,96.77,90.48,85.37,Yes,Yes,4,5,Not Employable
19-01351,Female,25,BSP,2019,2.77,73.59,95.34,89.64,No,Yes,1,1,Employable
23-01352,Male,28,BSBA,2023,3.85,78.25,84.08,83.71,No,Yes,1,3,Employable
22-01353,Female,23,BSCS,2022,3.3,94.25,94.87,81.68,No,Yes,2,1,Employable
23-01354,Female,30,BSA,2023,3.83,97.02,93.45,83.63,Yes,Yes,1,4,Not Employable
24-01355,Female,30,BSBA,2024,3.67,90.52,90.14,93.45,No,Yes,5,4,Not Employable
23-01356,Female,24,BSIT,2023,3.38,73.14,83.35,71.01,No,No,4,2,Not Employable
21-01357,Female,28,BSP,2021,2.71,85.69,78.16,93.51,No,Yes,3,3,Not Employable
18-01358,Male,20,BSBA,2018,2.48,87.18,95.83,89.99,Yes,Yes,1,5,Employable
19-01359,Male,23,BSCS,2019,2.44,78.46,89.46,77.24,No,Yes,4,4,Not Employable
15-01360,Female,26,BSE,2015,3.9,99.74,93.94,85.74,No,Yes,3,5,Not Employable
15-01361,Male,30,BSE,2015,3.92,80.07,86.56,71.48,Yes,Yes,2,5,Employable
17-01362,Male,34,BSSE,2017,3.45,76.31,75.16,81.39,Yes,Yes,5,5,Not Employable
22-01363,Female,28,BSA,2022,3.77,73.3,99.38,75.22,No,No,2,1,Employable
16-01364,Female,34,BSE,2016,3.84,81.36,75.48,70.67,No,Yes,1,5,Employable
18-01365,Male,33,BSSE,2018,3.02,90.78,97.34,80.71,Yes,Yes,5,2,Employable
16-01366,Female,32,BSP,2016,3.26,76.94,76.24,91.78,Yes,No,2,1,Employable
19-01367,Male,30,BSE,2019,2.84,93.09,81.21,97.63,Yes,No,4,1,Not Employable
23-01368,Male,31,BSBA,2023,2.84,74.06,83.2,89.87,No,No,1,4,Employable
15-01369,Female,32,BSCS,2015,2.08,83.21,97.64,82.06,Yes,Yes,2,3,Employable
19-01370,Male,29,BSIT,2019,2.87,91.07,96.65,99.98,No,Yes,5,3,Not Employable
23-01371,Male,25,BSE,2023,3.35,74.06,94.7,78.49,Yes,Yes,5,4,Not Employable
15-01372,Male,31,BSIT,2015,2.84,87.94,81.3,75.61,No,Yes,3,3,Not Employable
23-01373,Female,27,BSIT,2023,3.74,93.97,70.13,83.91,No,Yes,5,5,Not Employable
22-01374,Female,32,BSIT,2022,2.67,87.87,90.45,85.15,Yes,Yes,5,2,Employable
18-01375,Female,28,BSN,2018,2.27,85.34,82.33,80.64,Yes,No,1,5,Not Employable
24-01376,Female,29,BSIT,2024,3.62,95.15,92.71,90.86,No,Yes,5,3,Not Employable
19-01377,Male,23,BSN,2019,3.35,99.56,93.85,75.52,Yes,Yes,3,3,Employable
19-01378,Female,20,BSCS,2019,2.48,75.44,83.19,85.31,No,No,5,2,Employable
20-01379,Female,33,BSIT,2020,3.07,90.74,92.44,85,No,Yes,3,1,Employable
21-01380,Female,27,BSSE,2021,2.8,72.42,95.2,94.71,Yes,No,4,1,Not Employable
22-01381,Female,21,BSIT,2022,3.88,71.29,97.85,97.81,No,No,3,2,Not Employable
22-01382,Male,30,BSHM,2022,3.21,78.42,87.47,89.9,Yes,No,1,1,Employable
16-01383,Male,20,BSA,2016,2.32,99.13,93.35,79.16,No,No,2,3,Not Employable
23-01384,Male,32,BSSE,2023,3,86.57,84.84,90.69,No,Yes,2,1,Not Employable
21-01385,Female,26,BSE,2021,3.73,78.05,71.25,77.54,Yes,Yes,4,3,Not Employable
18-01386,Female,31,BSCS,2018,3.34,73.98,74.66,99,No,Yes,1,4,Employable
18-01387,Male,29,BSCS,2018,3.68,97.61,73.85,94.67,No,Yes,4,5,Not Employable
22-01388,Female,28,BSHM,2022,2.5,80.87,75.15,82.94,No,Yes,4,1,Not Employable
18-01389,Female,30,BSHM,2018,3.78,79.2,70.31,93.53,Yes,Yes,5,4,Employable
20-01390,Male,34,BSHM,2020,3.51,95.74,95.76,82.26,Yes,No,5,1,Not Employable
19-01391,Male,31,BSHM,2019,3.46,88.13,86.8,72.24,No,No,1,4,Employable
17-01392,Female,31,BSHM,2017,2.69,75.06,81.49,91.2,No,No,2,2,Employable
24-01393,Female,28,BSP,2024,3.78,82.65,82.29,82.14,No,No,3,4,Not Employable
16-01394,Female,22,BSBA,2016,3.28,97.85,83.9,97.91,Yes,No,5,3,Not Employable
23-01395,Male,25,BSCS,2023,3.7,97.04,72.22,79.2,No,Yes,1,2,Not Employable
24-01396,Male,26,BSHM,2024,2.72,72.1,78.24,95.3,No,Yes,1,2,Not Employable
23-01397,Male,33,BSE,2023,2.29,78.06,95.55,90.41,Yes,No,2,3,Not Employable
15-01398,Male,29,BSP,2015,2.66,74.64,92.31,95.6,Yes,No,1,1,Not Employable
24-01399,Female,28,BSSE,2024,2.91,86.01,86.9,78.76,No,Yes,1,2,Employable
17-01400,Male,34,BSSE,2017,3.07,92.5,84.42,83.84,Yes,Yes,2,1,Not Employable
22-01401,Male,21,BSN,2022,3.02,78.87,77.77,94.69,No,Yes,5,5,Not Employable
20-01402,Female,27,BSBA,2020,3.09,92.74,84.14,89.31,Yes,Yes,2,4,Employable
19-01403,Female,33,BSSE,2019,3.68,90.06,87.94,80.8,Yes,Yes,4,4,Not Employable
19-01404,Female,26,BSHM,2019,2.34,91.85,91.38,85.36,Yes,No,5,3,Employable
20-01405,Male,23,BSCS,2020,2.63,98.45,75,99.88,Yes,No,4,3,Not Employable
21-01406,Female,21,BSN,2021,3.78,82.74,94.39,92.26,No,No,1,4,Employable
15-01407,Female,27,BSA,2015,3.12,80.28,80.37,88.44,No,Yes,4,5,Not Employable
23-01408,Male,30,BSP,2023,3.17,90.52,85.1,94.84,Yes,No,2,3,Not Employable
17-01409,Male,24,BSA,2017,2.96,94.23,88.24,83.26,No,No,2,5,Not Employable
18-01410,Female,25,BSA,2018,3.1,75.74,84.64,98.5,No,No,3,3,Employable
24-01411,Male,33,BSHM,2024,2.4,95.4,87.16,86.56,No,Yes,1,2,Employable
15-01412,Female,30,BSA,2015,3.09,71.74,73.35,79.81,Yes,Yes,2,1,Employable
24-01413,Female,26,BSA,2024,3.99,70.19,82.96,72.58,Yes,Yes,5,4,Employable
17-01414,Male,34,BSSE,2017,3.13,74.75,78.41,81.27,No,Yes,2,1,Employable
16-01415,Female,34,BSN,2016,2.09,99.36,72.58,87.06,No,No,5,4,Not Employable
16-01416,Male,29,BSA,2016,3.59,85.71,75.75,91.1,No,No,1,3,Employable
15-01417,Male,20,BSBA,2015,2.79,71.4,88.07,96.25,No,Yes,3,1,Not Employable
22-01418,Male,27,BSE,2022,2.31,99.92,75.9,98.32,Yes,Yes,3,5,Employable
17-01419,Female,23,BSN,2017,3.73,92.35,75.43,73.07,No,Yes,4,3,Not Employable
17-01420,Male,32,BSBA,2017,2.4,95.14,86.58,88.03,No,No,2,2,Employable
20-01421,Male,28,BSE,2020,3.84,76.39,97.14,90,No,Yes,1,1,Not Employable
22-01422,Female,20,BSA,2022,2.88,73.16,93.66,75.16,No,No,4,1,Not Employable
23-01423,Female,30,BSIT,2023,3.49,85.45,97.15,86.37,No,Yes,1,2,Employable
23-01424,Female,21,BSCS,2023,3.09,93.17,87.49,80.05,Yes,Yes,1,4,Not Employable
18-01425,Female,33,BSBA,2018,2.51,89.13,82.3,72.32,Yes,Yes,4,3,Employable
